POA_CODE_2016,RA_NAME_2016,Tot_P_P,STEM_Tot,P_Tot_Tot,STEM_Pct,Wkly_Hhd_Inc,Secondary_Tot_P,Secondary_Pct,Tec_Furt_Educ_inst_Tot_P,TAFE_Pct,Uni_other_Tert_Instit_Tot_P,Uni_Pct,Y12_Comp_Pct,Indigenous_Pct
POA2795,Inner Regional Australia,42550,4390,21003,20.90177593677094,1310,3035,7.132784958871915,924,2.1715628672150413,2100,4.9353701527614575,43.94340203014457,5.327849588719154
POA2800,Inner Regional Australia,44993,4515,21330,21.167369901547115,1339,3042,6.761051719156313,1157,2.571511123952615,1377,3.0604760740559644,43.31938136373081,5.972040095125909
POA2820,Outer Regional Australia,7316,571,3512,16.25854214123007,893,402,5.494805904866047,113,1.5445598687807545,89,1.2165117550574085,25.95012897678418,24.015855658829963
POA2830,Inner Regional Australia,40291,3699,18465,20.032493907392364,1344,2532,6.284281849544564,1009,2.5042813531557915,863,2.141917549825023,40.59630763155297,14.37790077188454
POA2850,Inner Regional Australia,17644,2235,8385,26.65474060822898,1229,986,5.588301972341872,375,2.125368397188846,270,1.5302652459759691,36.60422242045792,5.355928360915892
POA2870,Outer Regional Australia,12042,1200,5242,22.89202594429607,1154,835,6.934064108952001,254,2.109284172064441,209,1.7355920943364889,33.2560706401766,9.226042185683442
POA2871,Outer Regional Australia,9349,909,3961,22.948750315576874,1065,657,7.027489571077121,155,1.657931329553963,129,1.3798267194352336,33.07020016915703,11.188362391699647
POA2880,Outer Regional Australia,18276,1735,7805,22.229340166559897,971,987,5.400525279054498,429,2.3473407747866055,269,1.471875683957102,25.735843926313642,8.393521558327862
POA3139,Inner Regional Australia,13718,1627,6375,25.521568627450982,1464,956,6.968945910482578,301,2.1941974048695143,291,2.1213004811196967,41.214980263791276,0.8893424697477766
POA3222,Inner Regional Australia,14960,1614,7386,21.852152721364742,1199,996,6.657754010695188,239,1.5975935828877006,411,2.7473262032085564,43.639002732240435,1.0093582887700534
POA3223,Inner Regional Australia,7397,835,3870,21.57622739018088,896,276,3.73124239556577,102,1.378937407056915,125,1.6898742733540624,35.01970055161544,0.9328105988914425
POA3226,Inner Regional Australia,14165,1420,7421,19.134887481471498,1432,908,6.410165901870808,230,1.6237204376985528,458,3.233321567243205,55.59996282182359,0.5930109424638192
POA3228,Inner Regional Australia,17939,1750,9523,18.376562007770662,1763,1304,7.269078543954513,257,1.432632811193489,653,3.6401137187134176,62.275083867032635,0.702380288756341
POA3250,Inner Regional Australia,12250,1008,5069,19.8855790096666,1055,745,6.081632653061225,174,1.420408163265306,155,1.2653061224489797,33.524265777962924,1.2408163265306122
